year,horizon,start_date,end_date,avg_high,avg_low,avg_high_dev,avg_low_dev,total_rain,normal_total_rain,rain_excess,rainy_days,normal_rainy_days,wettest_2day,wettest_3day,wettest_5day,concentrated_rain_share,dry_streak,wet_streak,hot_streak,cool_streak,warm_night_streak,cool_night_streak,ante_dry,ante_wet,record_days,max_high_dev,min_high_dev,max_low_dev,min_low_dev,rain_ratio,month_label,season
2025,30,2025-12-01,2025-12-30,26.298333333333332,16.102333333333334,0.20419696969696924,-0.2395454545454545,11.93,27.943181818181813,-16.013181818181813,6,30,9,9.9,11.65,0.8298407376362112,14,5,1,0,2,1,0,8,0,2.232272727272729,-1.47068181818182,2.547727272727272,-2.2559090909090926,0.4269377795851973,Dec,winter
2025,30,2025-12-02,2025-12-31,26.413333333333334,16.076999999999998,0.30058333333333287,-0.24484090909090916,11.18,26.180681818181817,-15.000681818181818,6,30,9,9.47,10.75,0.8470483005366727,14,4,2,0,2,1,0,8,0,2.584772727272725,-1.47068181818182,2.547727272727272,-2.2559090909090926,0.42703242328226054,Dec,winter
2026,7,2026-01-01,2026-01-07,26.815714285714286,16.64,0.13926984126984118,0.6863492063492065,1.26,2.046222222222222,-0.7862222222222222,2,6,1.26,1.26,1.26,1,5,2,1,0,2,0,0,4,0,2.235111111111113,-1.1239999999999988,3.1006666666666653,-1.3482222222222209,0.615768896611642,Jan,winter
2026,7,2026-01-02,2026-01-08,26.30142857142857,15.94,-0.4355238095238103,-0.015301587301587118,0.5700000000000001,2.233111111111111,-1.663111111111111,1,6,0.5700000000000001,0.5700000000000001,0.5700000000000001,1,6,1,0,0,1,0,0,4,0,0.6331111111111092,-1.7884444444444476,2.684222222222223,-1.810888888888888,0.25524927853517765,Jan,winter
2026,7,2026-01-03,2026-01-09,26.074285714285715,15.354285714285714,-0.6980634920634928,-0.6153968253968255,0,2.062222222222222,-2.062222222222222,0,5,0,0,0,0,7,0,0,0,0,0,8,4,0,0.6331111111111092,-1.7884444444444476,1.3239999999999998,-1.810888888888888,0,Jan,winter
2026,7,2026-01-04,2026-01-10,25.655714285714286,15.358571428571429,-1.1617460317460322,-0.6466349206349206,0.36000000000000004,2.150444444444444,-1.790444444444444,1,5,0.36000000000000004,0.36000000000000004,0.36000000000000004,1,6,1,0,1,0,0,8,0,0,0.10377777777777908,-2.612666666666666,1.1053333333333342,-1.810888888888888,0.16740725431435366,Jan,winter
2026,7,2026-01-05,2026-01-11,25.024285714285714,15.605714285714285,-1.839301587301588,-0.41174603174603186,0.9900000000000002,2.2411111111111106,-1.2511111111111104,2,6,0.9900000000000002,0.9900000000000002,0.9900000000000002,1,5,2,0,2,0,0,8,0,0,-0.45000000000000284,-4.639111111111113,1.4888888888888872,-1.810888888888888,0.4417451660882501,Jan,winter
2026,7,2026-01-06,2026-01-12,24.669999999999998,15.912857142857142,-2.252031746031747,-0.08984126984127,1.8500000000000003,2.187777777777778,-0.3377777777777775,3,5,1.4900000000000002,1.8500000000000003,1.8500000000000003,1,4,3,0,3,0,0,8,0,0,-0.45000000000000284,-4.639111111111113,1.8053333333333335,-1.810888888888888,0.8456069070594211,Jan,winter
2026,7,2026-01-07,2026-01-13,24.50857142857143,16.147142857142857,-2.4771746031746043,0.15888888888888886,9.26,1.694,7.566,4,5,8.27,8.9,9.26,0.961123110151188,3,4,0,4,0,0,8,0,0,-0.45000000000000284,-4.639111111111113,1.8053333333333335,-1.810888888888888,5.466351829988193,Jan,winter
2026,7,2026-01-08,2026-01-14,24.768571428571427,16.562857142857144,-2.3355238095238104,0.6357777777777778,9.299999999999999,1.6475555555555554,7.652444444444443,4,5,8.27,8.9,9.299999999999999,0.9569892473118281,2,4,0,4,0,0,8,0,0,0.5415555555555542,-4.639111111111113,1.9900000000000002,-1.810888888888888,5.644726193687617,Jan,winter
